COUNTRY CODE	STATE CODE	COUNTY CODE	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CN	CN-32		L19114789	P	31.6507577	119.2244897	2021-05-02	09:00:00	obs947083	S110454236	Traveling	P22	150	3.000		1	1	
CN	CN-46		L19294922	P	20.0738266	110.3770382	2021-05-24	08:00:00	obs3075025	S111745729	Stationary	P21	180			3	1	
CN	CN-46		L19294964	P	20.0455100	110.2093452	2021-05-26	07:00:00	obs3075025	S111380251	Stationary	P21	240			5	1	
CN	CN-50		L19297734	P	29.5076990	106.4834850	2021-03-05	10:15:00	obs2300405	S111393287	Traveling	P22	200	5.000		1	1	
CN	CN-44		L19425589	H	23.4070670	115.8486241	2021-03-20	08:05:00	obs3070838	S112002204	Stationary	P21	122			1	1	
CN	CN-44		L19425589	H	23.4070670	115.8486241	2021-03-19	16:02:00	obs3070838	S112001912	Stationary	P21	155			1	1	
CN	CN-44		L19425589	H	23.4070670	115.8486241	2021-03-21	06:22:00	obs3070838	S112002394	Stationary	P21	121			2	1	
CN	CN-44		L19434350	H	23.1038423	113.3544070	2021-04-10	14:45:00	obs3070838	S116501569	Stationary	P21	108			1	1	
CN	CN-14		L19621577	P	36.8908450	111.8356785	2021-05-04	09:00:00	obs2132559	S112855820	Stationary	P21	60			1	1	
CN	CN-14		L19621708	P	36.3027705	111.8083656	2021-05-02	09:03:00	obs2132559	S112855822	Stationary	P21	117			1	1	
CN	CN-14		L19621760	P	34.7304670	110.6819121	2021-04-30	15:00:00	obs2132559	S112855816	Stationary	P21	60			1	1	
CN	CN-14		L19621850	P	35.4145720	110.8342227	2021-05-01	06:00:00	obs2132559	S112855817	Stationary	P21	60			1	1	
CN	CN-14		L19621862	P	37.0300800	111.9177307	2021-05-03	20:00:00	obs2132559	S112855819	Stationary	P21	60			1	1	
CN	CN-14		L19621880	P	35.1099729	111.0397746	2021-04-30	10:00:00	obs2132559	S112855815	Stationary	P21	60			1	1	
CN	CN-14		L19621896	P	37.1707216	112.1315825	2021-05-06	09:00:00	obs2132559	S112855823	Stationary	P21	60			1	1	
CN	CN-14		L19621909	P	37.5698549	112.1366358	2021-05-05	14:00:00	obs2132559	S112855821	Stationary	P21	60			1	1	
CN	CN-36		L19965389	P	27.6309987	116.9890885	2021-04-22	16:00:00	obs2350960	S114342012	Stationary	P21	120			4	1	
