COUNTRY CODE	STATE CODE	COUNTY CODE	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER
CN	CN-44		L9319851	P	23.8431377	114.0762806	2019-05-14	17:00:00	obs293735	S56672166	Traveling	P22	45	0.805		2	1	G4211054
CN	CN-44		L9319851	P	23.8431377	114.0762806	2019-05-15	07:15:00	obs293735	S56672181	Traveling	P22	180	2.414		2	1	G4211042
CN	CN-44		L9319851	P	23.8431377	114.0762806	2019-05-15	07:15:00	obs305410	S56612801	Traveling	P22	180	2.414		2	1	G4211042
CN	CN-44		L9319851	P	23.8431377	114.0762806	2019-05-14	17:00:00	obs305410	S56612343	Traveling	P22	45	0.805		2	1	G4211054
CN	CN-51		L9319980	P	30.8901250	102.9918610	2019-05-22	17:11:00	obs18347	S77811134	Traveling	P22	61	3.219		9	1	G4208802
CN	CN-51		L9319980	P	30.8901250	102.9918610	2019-05-22	17:11:00	obs199620	S56613057	Traveling	P22	61	3.219		9	1	G4208802
CN	CN-51		L9319980	P	30.8901250	102.9918610	2019-05-22	17:11:00	obs966002	S56988130	Traveling	P22	61	3.219		9	1	G4208802
CN	CN-51		L9319980	P	30.8901250	102.9918610	2019-05-22	17:11:00	obs203281	S56613058	Traveling	P22	61	3.219		9	1	G4208802
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-23	07:55:00	obs199620	S56678940	Traveling	P22	222	4.828		9	1	G4214590
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-23	07:55:00	obs203281	S56678941	Traveling	P22	222	4.828		9	1	G4214590
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	06:10:00	obs199620	S56678913	Stationary	P21	100			9	1	G4214589
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-22	14:13:00	obs966002	S56988132	Traveling	P22	173	4.828		9	1	G4208825
CN	CN-51		L9319999	P	30.8950970	102.9791100	2019-05-24	06:10:00	obs203281	S56678915	Stationary	P21	100			9	1	G4214589
